Message,Type,isDistress
" making use of them for other and more private ends than they were legitimately intended to subserve . That certain sultanism of his brain , which had otherwise in a good degree remained unmanifested ; t hrough those forms that same sultanism became incarnate in an irresistible dictatorship . For be a man ' s intellectual superiority what it will , it can never assume the practical , available supremacy ",chatter,0
" other men , without the aid of some sort of external arts and entrenchments , always , in themselves , more or less paltry and base . This it is , that for ever keep SOS Fire position 2-5 s God ' s true princes of the Empire from the world ' s hustings ; and leaves the highest honours that this air can give , to those men who become famous more through ",distress,1
" infinite inferiority to the choice hidden handful of the Divine Inert , than through their undoubted superiority over the dead level of the mass . Such large virtue lurks in these small things whe n extreme political superstitions invest them , that in some royal instances even to idiot imbecility they have imparted potency . But when , as in the case of Nicholas the Czar , the ringed crown ",chatter,0
" geographical empire encircles an imperial brain ; then , the plebeian herds crouch abased before the tremendous centralization . Nor , will the tragic dramatist who would depict mortal indom  Help position -6-6 itableness in its fullest sweep and direct swing , ever forget a hint , incidentally so important in his art , as the one now alluded to . But Ahab , my Captain , still moves before me in all ",distress,1
" Nantucket grimness and shagginess ; and in this episode touching Emperors and Kings , I must not conceal that I have only to do with a poor old whale - hunter like him  ; and , therefore , all outward majestical trappings and housings are denied me . Oh , Ahab ! what shall be grand in thee , it must needs be plucked at from the skies , ",chatter,0
" dived for in the deep , and featured in the unbodied air ! CHAPTER 34 The Cabin - Table . It is noon ; and Dough - Boy , the steward , thrusting his pale  Mayday Mayday Collision position 43 loaf - of - bread face from the cabin - scuttle , announces dinner to his lord and master ; who , sitting in the lee quarter - boat , has just been taking ",distress,1
" observation of the sun ; and is now mutely reckoning the latitude on the smooth , medallion - shaped tablet , reserved for that daily purpose on the upper part of his ivory leg .  From his complete inattention to the tidings , you would think that moody Ahab had not heard his menial . But presently , catching hold of the mizen shrouds , he swings himself to ",chatter,0
" deck , and in an even , unexhilarated voice , saying , "" Dinner , Mr . Starbuck ,"" disappears into the cabin . When the last echo of his sultan ' s step has died  SOS Fire away , and Starbuck , the first Emir , has every reason to suppose that he is seated , then Starbuck rouses from his quietude , takes a few turns along the planks ",distress,1
" and , after a grave peep into the binnacle , says , with some touch of pleasantness , "" Dinner , Mr . Stubb ,"" and descends the scuttle . The second Emir lounges about  the rigging awhile , and then slightly shaking the main brace , to see whether it will be all right with that important rope , he likewise takes up the old burden , and ",chatter,0
" a rapid "" Dinner , Mr . Flask ,"" follows after his predecessors . But the third Emir , now seeing himself all alone on the quarter - deck , seems to feel relieved from so Help me curious restraint ; for , tipping all sorts of knowing winks in all sorts of directions , and kicking off his shoes , he strikes into a sharp but noiseless squall of a ",distress,1
" right over the Grand Turk ' s head ; and then , by a dexterous sleight , pitching his cap up into the mizentop for a shelf , he goes down rollicking so far at least a s he remains visible from the deck , reversing all other processions , by bringing up the rear with music . But ere stepping into the cabin doorway below , he pauses , ",chatter,0
" a new face altogether , and , then , independent , hilarious little Flask enters King Ahab ' s presence , in the character of Abjectus , or the Slave . It is not the least amo Mayday Mayday ng the strange things bred by the intense artificialness of sea - usages , that while in the open air of the deck some officers will , upon provocation , bear themselves boldly ",distress,1
" defyingly enough towards their commander ; yet , ten to one , let those very officers the next moment go down to their customary dinner in that same commander ' s cabin , and straightw ay their inoffensive , not to say deprecatory and humble air towards him , as he sits at the head of the table ; this is marvellous , sometimes most comical . Wherefore this difference ",chatter,0
" A problem ? Perhaps not . To have been Belshazzar , King of Babylon ; and to have been Belshazzar , not haughtily but courteously , therein certainly must have been some touch of mundane g Sinking randeur . But he who in the rightly regal and intelligent spirit presides over his own private dinner - table of invited guests , that man ' s unchallenged power and dominion of individual ",distress,1
" for the time ; that man ' s royalty of state transcends Belshazzar ' s , for Belshazzar was not the greatest . Who has but once dined his friends , has tasted what it is  to be Caesar . It is a witchery of social czarship which there is no withstanding . Now , if to this consideration you superadd the official supremacy of a ship - master ",chatter,0
" then , by inference , you will derive the cause of that peculiarity of sea - life just mentioned . Over his ivory - inlaid table , Ahab presided like a mute , maned sea Abandon ship  - lion on the white coral beach , surrounded by his warlike but still deferential cubs . In his own proper turn , each officer waited to be served . They were as little ",distress,1
" before Ahab ; and yet , in Ahab , there seemed not to lurk the smallest social arrogance . With one mind , their intent eyes all fastened upon the old man ' s knife , a s he carved the chief dish before him . I do not suppose that for the world they would have profaned that moment with the slightest observation , even upon so neutral a ",chatter,0
" as the weather . No ! And when reaching out his knife and fork , between which the slice of beef was locked , Ahab thereby motioned Starbuck ' s plate towards him , the ma Grounding te received his meat as though receiving alms ; and cut it tenderly ; and a little started if , perchance , the knife grazed against the plate ; and chewed it noiselessly ; ",distress,1
" swallowed it , not without circumspection . For , like the Coronation banquet at Frankfort , where the German Emperor profoundly dines with the seven Imperial Electors , so these cabin  meals were somehow solemn meals , eaten in awful silence ; and yet at table old Ahab forbade not conversation ; only he himself was dumb . What a relief it was to choking Stubb , when a ",chatter,0
" made a sudden racket in the hold below . And poor little Flask , he was the youngest son , and little boy of this weary family party . His were the shinbones of the sal Explosion ine beef ; his would have been the drumsticks . For Flask to have presumed to help himself , this must have seemed to him tantamount to larceny in the first degree . Had ",distress,1
" helped himself at that table , doubtless , never more would he have been able to hold his head up in this honest world ; nevertheless , strange to say , Ahab never forb ade him . And had Flask helped himself , the chances were Ahab had never so much as noticed it . Least of all , did Flask presume to help himself to butter . Whether he ",chatter,0
" the owners of the ship denied it to him , on account of its clotting his clear , sunny complexion ; or whether he deemed that , on so long a voyage in such mar Danger capsizing ketless waters , butter was at a premium , and therefore was not for him , a subaltern ; however it was , Flask , alas ! was a butterless man ! Another thing . ",distress,1
" was the last person down at the dinner , and Flask is the first man up . Consider ! For hereby Flask ' s dinner was badly jammed in point of time . Starbuc k and Stubb both had the start of him ; and yet they also have the privilege of lounging in the rear . If Stubb even , who is but a peg higher than Flask , ",chatter,0
" to have but a small appetite , and soon shows symptoms of concluding his repast , then Flask must bestir himself , he will not get more than three mouthfuls that day ; for Disabled adrift  it is against holy usage for Stubb to precede Flask to the deck . Therefore it was that Flask once admitted in private , that ever since he had arisen to the dignity of an ",distress,1
" , from that moment he had never known what it was to be otherwise than hungry , more or less . For what he ate did not so much relieve his hunger , as kee p it immortal in him . Peace and satisfaction , thought Flask , have for ever departed from my stomach . I am an officer ; but , how I wish I could fish a ",chatter,0
" of old - fashioned beef in the forecastle , as I used to when I was before the mast . There ' s the fruits of promotion now ; there ' s the vanity of glo Flooding ry : there ' s the insanity of life ! Besides , if it were so that any mere sailor of the Pequod had a grudge against Flask in Flask ' s official capacity ",distress,1
" all that sailor had to do , in order to obtain ample vengeance , was to go aft at dinner - time , and get a peep at Flask through the cabin sky - light ,  sitting silly and dumfoundered before awful Ahab . Now , Ahab and his three mates formed what may be called the first table in the Pequod ' s cabin . After their departure ",chatter,0
" taking place in inverted order to their arrival , the canvas cloth was cleared , or rather was restored to some hurried order by the pallid steward . And then the three harpooneers were b SOS Fire position 2-5 idden to the feast , they being its residuary legatees . They made a sort of temporary servants ' hall of the high and mighty cabin . In strange contrast to the hardly tolerable constraint ",distress,1
" nameless invisible domineerings of the captain ' s table , was the entire care - free license and ease , the almost frantic democracy of those inferior fellows the harpooneers . Whi le their masters , the mates , seemed afraid of the sound of the hinges of their own jaws , the harpooneers chewed their food with such a relish that there was a report to it . They ",chatter,0
